Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Season
SP1,2013-02-09,La Coruna,Granada,0,3,A,0,1,A,16,14,1,4,10,13,5,5,3,3,1,0,2012-2013
SP1,2013-02-09,Levante,Malaga,1,2,A,1,1,D,12,8,4,4,14,11,4,4,4,1,0,0,2012-2013
SP1,2013-02-09,Mallorca,Osasuna,1,1,D,0,0,D,12,10,2,3,10,12,12,2,3,3,0,0,2012-2013
SP1,2013-02-09,Real Madrid,Sevilla,4,1,H,2,0,H,18,12,10,6,19,19,5,9,4,1,1,1,2012-2013
SP1,2013-02-10,Ath Bilbao,Espanol,0,4,A,0,1,A,16,9,5,5,12,16,12,3,2,7,0,0,2012-2013
SP1,2013-02-10,Barcelona,Getafe,6,1,H,2,0,H,17,6,9,1,13,9,4,0,1,2,0,0,2012-2013
SP1,2013-02-10,Vallecano,Ath Madrid,2,1,H,2,0,H,10,20,3,7,17,16,2,8,2,2,0,0,2012-2013
SP1,2013-02-10,Zaragoza,Sociedad,1,2,A,0,2,A,10,14,3,7,11,6,5,6,3,0,1,0,2012-2013
SP1,2013-02-11,Betis,Valladolid,0,0,D,0,0,D,22,3,3,0,13,16,8,3,0,3,1,1,2012-2013
SP1,2013-02-15,Sevilla,La Coruna,3,1,H,3,1,H,20,13,9,6,21,4,6,7,6,2,0,0,2012-2013
SP1,2013-02-16,Getafe,Celta,3,1,H,3,1,H,15,5,10,2,16,9,7,4,1,1,0,0,2012-2013
SP1,2013-02-16,Granada,Barcelona,1,2,A,1,0,H,6,17,5,8,15,14,1,1,2,1,0,0,2012-2013
SP1,2013-02-16,Malaga,Ath Bilbao,1,0,H,1,0,H,12,8,7,6,16,17,5,8,2,2,0,0,2012-2013
SP1,2013-02-16,Osasuna,Zaragoza,1,0,H,1,0,H,8,10,3,3,25,13,7,4,7,7,0,0,2012-2013
SP1,2013-02-17,Espanol,Betis,1,0,H,1,0,H,6,5,2,2,24,21,8,5,4,3,0,0,2012-2013
SP1,2013-02-17,Real Madrid,Vallecano,2,0,H,2,0,H,10,10,6,1,15,18,2,8,3,4,1,0,2012-2013
SP1,2013-02-17,Sociedad,Levante,1,1,D,1,1,D,12,7,5,7,13,16,12,4,2,5,0,1,2012-2013
SP1,2013-02-17,Valencia,Mallorca,2,0,H,0,0,D,4,16,2,8,13,16,2,6,5,3,1,0,2012-2013
SP1,2013-02-17,Valladolid,Ath Madrid,0,3,A,0,1,A,3,13,0,8,10,13,3,4,4,0,0,0,2012-2013
SP1,2013-02-22,Ath Bilbao,Sociedad,1,3,A,1,1,D,18,13,5,5,17,22,7,4,3,1,0,0,2012-2013
SP1,2013-02-23,Barcelona,Sevilla,2,1,H,0,1,A,17,7,3,4,10,12,10,1,0,2,0,0,2012-2013
SP1,2013-02-23,La Coruna,Real Madrid,1,2,A,1,0,H,15,17,5,8,11,13,3,5,3,3,0,1,2012-2013
SP1,2013-02-23,Mallorca,Getafe,1,3,A,1,0,H,15,15,4,4,14,10,13,5,3,4,0,0,2012-2013
SP1,2013-02-23,Zaragoza,Valencia,2,2,D,2,1,H,14,11,6,8,18,19,5,5,5,4,1,0,2012-2013
SP1,2013-02-24,Ath Madrid,Espanol,1,0,H,1,0,H,10,12,3,1,16,23,5,4,3,7,1,0,2012-2013
SP1,2013-02-24,Betis,Malaga,3,0,H,3,0,H,21,3,8,1,18,12,6,2,2,1,0,1,2012-2013
SP1,2013-02-24,Celta,Granada,2,1,H,1,1,D,13,9,4,2,14,12,4,4,3,3,0,0,2012-2013
SP1,2013-02-24,Vallecano,Valladolid,1,2,A,0,0,D,18,17,8,3,14,14,10,5,2,2,0,0,2012-2013
SP1,2013-02-25,Levante,Osasuna,0,2,A,0,0,D,8,17,3,6,10,22,7,2,0,2,0,0,2012-2013
SP1,2013-03-01,Getafe,Zaragoza,2,0,H,1,0,H,8,12,4,3,20,20,5,7,3,2,1,1,2012-2013
SP1,2013-03-02,La Coruna,Vallecano,0,0,D,0,0,D,13,18,4,3,13,18,3,7,1,5,1,0,2012-2013
SP1,2013-03-02,Osasuna,Ath Bilbao,0,1,A,0,0,D,18,7,6,2,13,17,9,4,1,4,0,0,2012-2013
SP1,2013-03-02,Real Madrid,Barcelona,2,1,H,1,1,D,14,5,6,2,21,19,4,1,4,6,0,1,2012-2013
SP1,2013-03-02,Valencia,Levante,2,2,D,2,1,H,19,8,6,4,13,17,6,4,2,5,0,0,2012-2013
SP1,2013-03-03,Espanol,Valladolid,0,0,D,0,0,D,11,7,0,1,7,16,8,4,0,1,0,0,2012-2013
SP1,2013-03-03,Granada,Mallorca,1,2,A,1,1,D,10,8,5,5,20,18,7,1,1,3,0,0,2012-2013
SP1,2013-03-03,Malaga,Ath Madrid,0,0,D,0,0,D,6,15,2,2,16,21,3,4,2,4,0,0,2012-2013
SP1,2013-03-03,Sociedad,Betis,3,3,D,0,1,A,14,17,7,4,6,16,12,4,1,5,0,0,2012-2013
SP1,2013-03-04,Sevilla,Celta,4,1,H,2,1,H,12,14,7,4,11,9,1,3,1,1,0,0,2012-2013
SP1,2013-03-08,Betis,Osasuna,2,1,H,1,0,H,9,18,5,3,18,18,0,5,5,4,0,1,2012-2013
SP1,2013-03-09,Barcelona,La Coruna,2,0,H,1,0,H,12,4,7,0,14,10,2,0,2,1,0,0,2012-2013
SP1,2013-03-09,Mallorca,Sevilla,2,1,H,1,0,H,10,17,5,5,23,9,6,9,3,2,1,0,2012-2013
SP1,2013-03-09,Valladolid,Malaga,1,1,D,1,1,D,9,6,4,1,14,12,8,1,1,1,0,0,2012-2013
SP1,2013-03-09,Vallecano,Espanol,2,0,H,1,0,H,16,15,9,3,13,17,7,7,4,5,0,0,2012-2013
SP1,2013-03-10,Ath Bilbao,Valencia,1,0,H,0,0,D,9,16,3,5,17,19,7,6,1,6,0,0,2012-2013
SP1,2013-03-10,Ath Madrid,Sociedad,0,1,A,0,0,D,21,10,3,3,20,14,7,5,5,2,0,0,2012-2013
SP1,2013-03-10,Celta,Real Madrid,1,2,A,0,0,D,19,23,10,11,11,6,9,6,2,1,0,0,2012-2013
SP1,2013-03-10,Levante,Getafe,0,0,D,0,0,D,16,13,5,3,19,13,6,3,2,3,0,0,2012-2013
SP1,2013-03-11,Zaragoza,Granada,0,0,D,0,0,D,8,12,3,1,15,18,3,7,3,2,0,0,2012-2013
SP1,2013-03-15,La Coruna,Celta,3,1,H,1,0,H,17,10,8,1,12,19,8,3,2,3,0,1,2012-2013
SP1,2013-03-16,Getafe,Ath Bilbao,1,0,H,1,0,H,19,10,8,1,14,12,8,6,2,4,0,0,2012-2013
SP1,2013-03-16,Real Madrid,Mallorca,5,2,H,1,2,A,24,15,13,6,9,11,11,4,0,1,0,0,2012-2013
